id,name,birth,rating,noOfTimesRated
1410232,Richard Campbell,1962,0,0
1574663,Collins Pennie,1985,0,0
1220330,Justis Bolding,1979,0,0
688672,Harald Pokieser,1958,0,0
1374680,Gackt,1973,0,0
638384,Arvo Nuut,1938,0,0
409739,Biserka Ipsa,1950,0,0
356998,Daria Halprin,1948,0,0
28531,Ray Andrew,1940,0,0
4952825,Folke Bernadotte,1895,0,0
8278595,Autumn Ivy,1991,0,0
95947,Mikho Borashvili,1947,0,0
904300,Tihamér Vujicsics,1929,0,0
393027,Miroslav Homola,1909,0,0
57563,Sebastian Barrio,1971,0,0
1267479,Dante de Oliveira,1952,0,0
412999,Dariusz Jablonski,1961,0,0
1797530,Dan Põldroos,1970,0,0
1127197,Irina Rakhmanova,1981,0,0
1828246,Anna Grace Stewart,1993,0,0
893,Ed Begley Jr.,1949,0,0
910089,Mary Walter,1912,0,0
116794,Birgitte Bruun,1953,0,0
791418,Carolyne Barry,1943,0,0
972598,Chie Tanaka,1981,0,0
661791,Chan-wook Park,1963,0,0
6216001,K.J. Apa,1997,0,0
1184290,Shagufta Ali,1967,0,0
62896,Luis Bayardo,1935,0,0
452962,Jewel Kilcher,1974,0,0
388693,Wolf Hofer,1956,0,0
387976,Martin Hodara,1968,0,0
434968,Christian Kahrmann,1972,0,0
896667,Luandino Vieira,1935,0,0
2376498,Matt Rubano,1977,0,0
456017,Rudyard Kipling,1865,0,0
3704793,Leszek Balcerowicz,1947,0,0
231153,Amalie Dollerup,1986,0,0
643656,Richard Ocean,1951,0,0
8124,Mahmoud Abdel Aziz,1946,0,0
1085134,Neels Clasen,1977,0,0
161729,Ivana Chýlková,1963,0,0
648780,Yoko Ono,1933,0,0
2149473,Coskun Sabah,1952,0,0
772637,Franz Leopold Schmelzer,1965,0,0
2620034,Blanca Soto,1979,0,0
2713162,Ryan Bergez,1985,0,0
1998498,Helena Mattsson,1984,0,0
8157458,Clint Howard II,1989,0,0
2597915,Syed Hasan Imam,1935,0,0
334897,Evelyne Grandjean,1939,0,0
1073009,Erin Neal,1982,0,0
583951,Robert Miano,1942,0,0
2279344,Natan Zahavi,1946,0,0
516272,Enrico Lo Verso,1964,0,0
561189,Yves-Marie Maurin,1944,0,0
2021003,Yann Yann Yeo,1977,0,0
707607,Mária Rákosi,1927,0,0
865098,Davit Toradze,1922,0,0
355186,Bryant Haliday,1928,0,0
434128,Milos Kabyl,1966,0,0
1483904,Benjamin Biolay,1973,0,0
1818074,Peter Kristúfek,1973,0,0
779325,Jill Scott,1972,0,0
6973,William Martin Brennan,1956,0,0
36250,Peter Arnett,1934,0,0
2287973,Jan Kwiecinski,1985,0,0
3127257,Petr Stach,1974,0,0
5492181,Ashley Tredenick,1987,0,0
797181,Arne Siemsen,1956,0,0
391276,Vladimír Hollos,1941,0,0
515225,Barry Livingston,1953,0,0
922629,Ruud Westerkamp,1953,0,0
342038,John Grillo,1942,0,0
815118,Aleksandr Sorokin,1961,0,0
3307344,Gábor Sebes,1953,0,0
282906,Nury Flores,1942,0,0
858747,Dominique Thomas,1961,0,0
1552290,Ari Tinnen,1980,0,0
750142,Bob Rumnock,1953,0,0
194408,Franciszek Czekierda,1952,0,0
347686,Tom Gulbrandsen,1962,0,0
2093992,Eric Gerber,1982,0,0
650036,Susan Orlean,1955,0,0
1309372,Lilyana Batuleva,1926,0,0
684177,Magali Pinglaut,1972,0,0
346743,Gianluca Guidi,1967,0,0
5266,Craig T. Nelson,1944,0,0
840754,Blanca Suárez,1988,0,0
118407,Peter Buck,1956,0,0
1842567,Santa Inoue,1968,0,0
496797,Amanda Lee,1970,0,0
472303,Steve Kroschel,1961,0,0
299331,Hiroshi Fuse,1958,0,0
3240141,Ally Goodman,1987,0,0
1320668,Scott Edgar,1972,0,0
747263,Candida Royalle,1950,0,0
571640,Raina McKeon,1956,0,0
406134,Wolfgang Hübner,1931,0,0
1848515,Gustav Ernesaks,1908,0,0
2506235,Laura de Boer,1983,0,0
